Time,Open,High,Low,Latest,Change,%Change,Volume
2002-02-06,133.96,134.38,133.36,133.68,-0.17,-0.13%,0
2002-02-07,133.68,134.15,133.38,133.52,-0.16,-0.12%,0
2002-02-08,133.82,135,133.53,134.62,1.1,+0.82%,0
2002-02-11,134.92,135.01,133.36,133.44,-1.18,-0.88%,0
2002-02-12,133.42,133.71,132.45,132.61,-0.83,-0.62%,0
2002-02-13,132.65,133.43,132.17,133.37,0.76,+0.57%,0
2002-02-14,133.28,133.35,131.99,132.08,-1.29,-0.97%,0
2002-02-15,132.14,133.22,131.85,132.61,0.53,+0.40%,0
2002-02-18,132.71,132.99,132.4,132.72,0.11,+0.08%,0
2002-02-19,132.69,133.99,132.62,133.6,0.88,+0.66%,0
2002-02-20,133.53,133.94,133,133.72,0.12,+0.09%,0
2002-02-21,133.76,134.49,133.43,134.15,0.43,+0.32%,0
2002-02-22,134.2,134.48,133.55,134.01,-0.14,-0.10%,0
2002-02-25,134.1,134.2,133.65,133.95,-0.06,-0.04%,0
2002-02-26,133.87,134.71,133.69,134.56,0.61,+0.46%,0
2002-02-27,134.67,134.98,134.12,134.29,-0.27,-0.20%,0
2002-02-28,134.27,134.41,133.47,133.67,-0.62,-0.46%,0
2002-03-01,133.37,133.88,133.11,133.28,-0.39,-0.29%,0
2002-03-04,133.54,133.58,131.86,132.28,-1.,-0.75%,0
2002-03-05,132.06,132.58,131.59,132.21,-0.07,-0.05%,0
2002-03-06,132.23,132.47,130.81,130.89,-1.32,-1.00%,0
2002-03-07,130.68,130.89,126.4,127.2,-3.69,-2.82%,0
2002-03-08,127.56,128.73,127.32,128.59,1.39,+1.09%,0
2002-03-11,128.6,129.19,127.78,128.27,-0.32,-0.25%,0
2002-03-12,128.33,129.13,127.99,128.85,0.58,+0.45%,0
2002-03-13,129.03,129.63,129.01,129.45,0.6,+0.47%,0
2002-03-14,129.47,129.57,128.24,129.28,-0.17,-0.13%,0
2002-03-15,129.16,129.46,128.88,129.07,-0.21,-0.16%,0
2002-03-18,129.16,131.54,129.15,131.32,2.25,+1.74%,0
2002-03-19,131.31,132.48,130.89,132.03,0.71,+0.54%,0
2002-03-20,132.09,132.42,131.29,131.54,-0.49,-0.37%,0
2002-03-21,131.39,132.26,131.26,131.96,0.42,+0.32%,0
2002-03-22,132.09,132.93,131.98,132.87,0.91,+0.69%,0
2002-03-25,132.89,133.49,132.68,133.34,0.47,+0.35%,0
2002-03-26,133.34,133.46,132.31,132.89,-0.45,-0.34%,0
2002-03-27,133.02,133.28,132.33,132.72,-0.17,-0.13%,0
2002-03-28,132.63,132.86,132.18,132.61,-0.11,-0.08%,0
2002-03-29,132.73,132.73,132.73,132.73,0.12,+0.09%,0
2002-04-01,132.8,133.84,132.76,133.41,0.68,+0.51%,0
2002-04-02,133.47,133.62,132.88,133.39,-0.02,-0.01%,0
2002-04-03,133.22,133.29,132.38,132.67,-0.72,-0.54%,0
2002-04-04,132.72,133.11,131.61,132.2,-0.47,-0.35%,0
2002-04-05,132.34,132.43,131.32,131.72,-0.48,-0.36%,0
2002-04-08,131.75,131.88,131.14,131.49,-0.23,-0.17%,0
2002-04-09,131.7,131.9,130.76,130.82,-0.67,-0.51%,0
2002-04-10,130.65,130.88,130.24,130.65,-0.17,-0.13%,0
2002-04-11,130.7,131.84,130.64,131.5,0.85,+0.65%,0
2002-04-12,131.49,132.25,131.32,131.95,0.45,+0.34%,0
2002-04-15,131.98,132.39,131.35,131.92,-0.03,-0.02%,0
2002-04-16,132.15,132.2,130.9,131.14,-0.78,-0.59%,0
2002-04-17,131.2,131.29,130.44,130.78,-0.36,-0.27%,0
2002-04-18,130.71,130.77,129.58,129.89,-0.89,-0.68%,0
